,4,6,8,10,12,15,20
1,0.1749,0.1749,0.514,0.1749,0.4753,0.1749,0.1749
2,0.9105,0.1749,0.1749,0.6996,0.6248,0.1749,0.1749
4,0.8051,0.1749,0.1749,0.1749,0.1749,0.1749,0.1749
8,0.4793,0.4032,0.5234,0.6876,0.1749,0.1749,0.1749
16,0.8545,0.6555,0.6222,0.1749,0.3191,0.4406,0.1749
32,0.1749,0.721,0.5447,0.1749,0.4286,0.3405,0.1749
64,0.1749,0.6729,0.5768,0.1749,0.1749,0.1749,0.1829
